event_id,event_start,event_end,peak_time,peak_avg_gas_gwei,peak_median_gas_gwei,peak_max_gas_gwei,lagged_threshold_gwei,lagged_median_gwei,shock_ratio,shock_increase_gwei,event_interval_count,selected_non_overlapping,overlap_with_peak_time,window_start,window_end,market_stable,analysis_eligible,exclusion_reason
E001,2022-04-05 18:00:00,2022-04-05 18:00:00,2022-04-05 18:00:00,250.85740390825,77.80975646565129,3987.823764491,226.49462393778592,68.0554310005046,3.686074722036365,182.8019729077454,1,True,,2022-03-29 18:00:00,2022-04-12 18:00:00,,,pending_market_stability_screen
E002,2022-05-01 00:00:00,2022-05-01 00:00:00,2022-05-01 00:00:00,2750.950847064712,1015.7372038652804,8629.051173688,166.4157142557044,48.70663793587792,56.479998695174295,2702.244209128834,1,True,,2022-04-24 00:00:00,2022-05-08 00:00:00,,,pending_market_stability_screen
E003,2022-05-11 12:00:00,2022-05-12 06:00:00,2022-05-12 06:00:00,323.0260699498531,270.3784811955228,1352.188204502,182.05132192931285,44.681192117733865,7.229575905197139,278.3448778321192,4,False,2022-05-01 00:00:00,2022-05-04 12:00:00,2022-05-19 06:00:00,,,overlapping_event_window
E004,2022-10-19 18:00:00,2022-10-19 18:00:00,2022-10-19 18:00:00,36.964501479480695,35.25885504178865,95.510420982,36.059985328337106,11.72525637385955,3.1525537950615625,25.239245105621144,1,False,2022-10-20 12:00:00,2022-10-12 18:00:00,2022-10-26 18:00:00,,,overlapping_event_window
E005,2022-10-20 12:00:00,2022-10-20 12:00:00,2022-10-20 12:00:00,49.19032901722377,45.06104452553405,98.977013035,36.82899821311398,11.888952522752115,4.137482164478939,37.301376494471654,1,True,,2022-10-13 12:00:00,2022-10-27 12:00:00,,,pending_market_stability_screen
E006,2022-10-21 12:00:00,2022-10-21 12:00:00,2022-10-21 12:00:00,39.27717115953106,32.75159939400854,129.323803857,37.1526061831721,12.041441003894379,3.2618331266854392,27.23573015563668,1,False,2022-10-20 12:00:00,2022-10-14 12:00:00,2022-10-28 12:00:00,,,overlapping_event_window
E007,2022-11-08 18:00:00,2022-11-08 18:00:00,2022-11-08 18:00:00,104.7371549209888,87.72954337276192,669.858927546,37.1526061831721,12.57934153616062,8.326123797490592,92.15781338482819,1,True,,2022-11-01 18:00:00,2022-11-15 18:00:00,,,pending_market_stability_screen
E008,2022-11-09 12:00:00,2022-11-09 18:00:00,2022-11-09 18:00:00,99.8915964098489,86.96175403212781,512.161660826,40.394092048645355,12.57934153616062,7.940924103435793,87.31225487368829,2,False,2022-11-08 18:00:00,2022-11-02 12:00:00,2022-11-16 18:00:00,,,overlapping_event_window
E009,2022-11-10 12:00:00,2022-11-10 12:00:00,2022-11-10 12:00:00,58.64657019203242,49.98535852478731,244.64404706,43.4008391273416,12.659732368907374,4.632528436072621,45.98683782312504,1,False,2022-11-08 18:00:00,2022-11-03 12:00:00,2022-11-17 12:00:00,,,overlapping_event_window
E010,2022-12-09 12:00:00,2022-12-09 12:00:00,2022-12-09 12:00:00,47.70904825853743,26.148946962468287,193.543542796,46.96271472064195,12.570167737622302,3.795418585843134,35.13888052091512,1,True,,2022-12-02 12:00:00,2022-12-16 12:00:00,,,pending_market_stability_screen
