event_id,destination_group,period,hours,mean_transactions,mean_volume,mean_active_senders,total_transactions,total_volume
E001,cex_bound,anticipatory,24,1184.6666666666667,182797063.64785504,1154.9166666666667,28432,4387129527.548521
E001,cex_bound,baseline,144,1266.3055555555557,110044016.38430344,1242.4930555555557,182348,15846338359.339695
E001,cex_bound,post,143,1091.4405594405594,107166221.61265063,1070.909090909091,156076,15324769690.609041
E001,cex_bound,recovery,18,1243.2777777777778,207024584.0845698,1211.111111111111,22379,3726442513.522257
E001,cex_bound,shock,7,937.2857142857143,72719445.55428572,909.1428571428571,6561,509036118.88000005
E001,non_cex,anticipatory,24,4074.25,523554213.1001899,1746.25,97782,12565301114.404558
E001,non_cex,baseline,144,4282.638888888889,369045870.13574713,1843.7777777777778,616700,53142605299.547585
E001,non_cex,post,143,3949.6503496503497,405014368.04951835,1727.7202797202797,564800,57917054631.08112
E001,non_cex,recovery,18,4722.888888888889,521597542.5471841,2051.722222222222,85012,9388755765.849314
E001,non_cex,shock,7,3707.285714285714,415808436.6557625,1442.5714285714287,25951,2910659056.5903373
E002,cex_bound,anticipatory,24,1058.0833333333333,51256768.961965166,1051.7083333333333,25394,1230162455.087164
E002,cex_bound,baseline,144,996.6944444444445,126174769.74048407,971.3333333333334,143524,18169166842.629707
E002,cex_bound,post,143,1255.076923076923,128552589.57636797,1230.041958041958,179476,18383020309.42062
E002,cex_bound,recovery,18,1044.4444444444443,62051231.4650381,1023.3888888888889,18800,1116922166.3706858
E002,cex_bound,shock,7,403.57142857142856,82348227.04286914,395.0,2825,576437589.300084
E002,non_cex,anticipatory,24,4047.7916666666665,398577151.98380184,1709.4166666666667,97147,9565851647.611244
E002,non_cex,baseline,144,4092.034722222222,396074633.72991467,1779.798611111111,589253,57034747257.10771
E002,non_cex,post,143,4114.797202797203,471428962.0627953,1784.3706293706293,588416,67414341574.97972
E002,non_cex,recovery,18,3623.6111111111113,262315259.25609106,1643.5,65225,4721674666.609639
E002,non_cex,shock,7,2214.714285714286,194245786.2275789,818.7142857142857,15503,1359720503.5930524
E005,cex_bound,anticipatory,24,870.0416666666666,87661449.01632532,854.7916666666666,20881,2103874776.3918078
E005,cex_bound,baseline,144,868.2083333333334,74374025.13903378,847.6875,125022,10709859620.020864
E005,cex_bound,post,143,965.6153846153846,79238704.80287695,944.7342657342657,138083,11331134786.811403
E005,cex_bound,recovery,18,799.9444444444445,52137232.75485758,779.0555555555555,14399,938470189.5874364
E005,cex_bound,shock,7,934.2857142857143,147984697.74904135,908.1428571428571,6540,1035892884.2432894
E005,non_cex,anticipatory,24,5801.75,402517980.73898387,2728.0833333333335,139242,9660431537.735613
E005,non_cex,baseline,144,4627.416666666667,386864084.08021474,2251.6944444444443,666348,55708428107.55093
E005,non_cex,post,143,4607.06993006993,453990818.8997584,2326.7762237762236,658811,64920687102.66545
E005,non_cex,recovery,18,5419.444444444444,336745300.6537024,2806.5555555555557,97550,6061415411.766643
E005,non_cex,shock,7,6862.285714285715,632166964.2773094,3107.285714285714,48036,4425168749.941166
E010,cex_bound,anticipatory,24,1314.0833333333333,103629846.09349482,1275.4166666666667,31538,2487116306.2438755
E010,cex_bound,baseline,144,1072.701388888889,111776542.44658805,1040.3055555555557,154469,16095822112.30868
E010,cex_bound,post,143,3170.5314685314684,193447577.97227594,3136.72027972028,453386,27663003650.03546
E010,cex_bound,recovery,18,5132.444444444444,58506000.216208264,5123.388888888889,92384,1053108003.8917488
E010,cex_bound,shock,7,21665.85714285714,81967157.77396692,21637.0,151661,573770104.4177685
