model,term,coefficient,standard_error,p_value,ci_lower,ci_upper
transactions,Intercept,11.038823130097636,0.513047335253281,8.40256551372037e-15,9.965002716362436,12.112643543832837
transactions,C(event_id)[T.E002],-0.10321580549615163,0.002900795675856254,7.466671095207087e-19,-0.10928724062264238,-0.09714437036966088
transactions,C(event_id)[T.E005],-0.20024295696989147,0.03836857079727839,4.8868014741722613e-05,-0.2805492985818633,-0.11993661535791963
transactions,C(event_id)[T.E010],0.07249441033830828,0.046480219555477716,0.13533652238791583,-0.024789807245486045,0.1697786279221026
transactions,C(event_id)[T.E013],0.1755148961744691,0.02628576406964063,2.1968251966523062e-06,0.12049815968820964,0.23053163266072857
transactions,C(event_id)[T.E018],-0.010145845163586548,0.014798266980420485,0.5012394150953273,-0.041118973917162835,0.020827283589989736
transactions,C(event_id)[T.E020],-0.0349982335579664,0.015201207805594029,0.032795424292154166,-0.06681472715113404,-0.0031817399647987576
transactions,C(event_id)[T.E027],0.15024734689641045,0.01657741923045771,2.5035742768843045e-08,0.11555040968705158,0.18494428410576932
transactions,C(event_id)[T.E030],0.2237303844078064,0.011884471997306464,9.541677542307279e-14,0.198855898643502,0.2486048701721108
transactions,C(event_id)[T.E034],0.0874555755852641,0.02220168707702541,0.0008804673184580022,0.04098691048460382,0.13392424068592437
transactions,C(event_id)[T.E044],0.023886382560228844,0.056299874659431974,0.6761336087344374,-0.09395060936213506,0.14172337448259276
transactions,C(event_id)[T.E047],0.09221580507440441,0.05878139303258125,0.13320041551703193,-0.030815064494417108,0.21524667464322594
transactions,C(event_id)[T.E052],0.3481518687726831,0.050966996874161265,1.609341053091192e-06,0.2414767183341105,0.45482701921125573
transactions,C(event_id)[T.E054],0.18126185126046662,0.07138038105399352,0.020004408752006052,0.031860996701627065,0.3306627058193062
transactions,C(event_id)[T.E057],0.3413707780430105,0.11791625437349616,0.009279509734572136,0.09456922123355413,0.5881723348524669
transactions,C(event_id)[T.E059],0.4126134910667357,0.11289312555418055,0.001684218096431336,0.1763254637044985,0.6489015184289729
transactions,C(event_id)[T.E060],0.48073381413833766,0.11506820794313595,0.0005105127803685965,0.2398932870156969,0.7215743412609784
transactions,C(event_id)[T.E061],0.5166462113295615,0.1383468267456535,0.00140500771654137,0.22708297509984993,0.8062094475592729
transactions,C(event_id)[T.E065],0.5862546781448055,0.14213021727961936,0.0005762179158210344,0.2887727145202827,0.8837366417693282
transactions,C(event_id)[T.E067],0.7511117172999793,0.12985331465286148,1.423426818807269e-05,0.4793256061868893,1.0228978284130692
transactions,C(hour_of_week)[T.1],0.0391316053572901,0.03919158960948417,0.33059897343503053,-0.04289733442585901,0.12116054514043921
transactions,C(hour_of_week)[T.2],0.002445678547164286,0.02896452453736741,0.9335923100155599,-0.05817776803404539,0.06306912512837395
transactions,C(hour_of_week)[T.3],0.03829925711883825,0.03262853439630983,0.2549808005285428,-0.029993050232727123,0.10659156447040362
transactions,C(hour_of_week)[T.4],0.04183783882075175,0.027338092805543522,0.14240102223252696,-0.015381447022897572,0.09905712466440106
transactions,C(hour_of_week)[T.5],0.1293068401461387,0.04592401695711159,0.011040048780238464,0.03318676797984907,0.2254269123124283
transactions,C(hour_of_week)[T.6],0.1334762056437723,0.0476253732784603,0.01135844884723442,0.03379515377178019,0.2331572575157644
transactions,C(hour_of_week)[T.7],0.2462639560949283,0.04060948729793899,7.837334372702555e-06,0.1612673223431533,0.33126058984670326
transactions,C(hour_of_week)[T.8],0.36378927248317466,0.0543014707832489,2.099661810907859e-06,0.25013498794408473,0.4774435570222646
transactions,C(hour_of_week)[T.9],0.4116284763244425,0.05277562983903833,2.4378562657200283e-07,0.3011678135847864,0.5220891390640986
transactions,C(hour_of_week)[T.10],0.4507863287360982,0.05817187861195891,2.6809297218587984e-07,0.32903118751114796,0.5725414699610484
transactions,C(hour_of_week)[T.11],0.4518373049433214,0.055284468952603284,1.2180443848759097e-07,0.33612558159033346,0.5675490282963094
