specification,events,coefficient,standard_error,p_value,ci_lower,ci_upper
all_events,20,0.16077110378390924,0.026800540392890388,9.00212246488011e-06,0.10467692807044815,0.21686527949737033
omit_E001,19,0.15847748677313445,0.027769251587583154,2.065189375978854e-05,0.10013645407178257,0.21681851947448633
omit_E002,19,0.16499216306317493,0.02772811849425653,1.24780869184061e-05,0.10673754778417624,0.22324677834217363
omit_E005,19,0.16376369946045216,0.027427806732663304,1.1967175450906947e-05,0.10614001578032828,0.22138738314057604
omit_E010,19,0.15689248909755826,0.02527367682595432,7.385273062230834e-06,0.10379446441598167,0.20999051377913486
omit_E013,19,0.1609517100199721,0.02728507018114191,1.3871958629512247e-05,0.10362790470688754,0.21827551533305667
omit_E018,19,0.16102820553094066,0.02759451139807174,1.581162583970289e-05,0.10305428834504919,0.21900212271683211
omit_E020,19,0.17507938292860886,0.02461532824779138,1.253367447088679e-06,0.12336449728505613,0.2267942685721616
omit_E027,19,0.16152664256816185,0.027531205319165697,1.4814201188153526e-05,0.10368572651872532,0.21936755861759838
omit_E030,19,0.16134824881190124,0.02774293760642253,1.6469291908043972e-05,0.10306249973353619,0.21963399789026627
omit_E034,19,0.16109352296884366,0.02728849845783597,1.3745169280667113e-05,0.1037625151136925,0.21842453082399482
omit_E044,19,0.1621974250149133,0.02670424872469296,9.69161863310831e-06,0.10609388030112724,0.21830096972869936
omit_E047,19,0.16317140762349353,0.02628622935159089,7.3891050397783185e-06,0.10794608902390533,0.2183967262230817
omit_E052,19,0.16235327387573484,0.02664846611587725,9.331960297030055e-06,0.10636692407427183,0.21833962367719784
omit_E054,19,0.16569777989010714,0.02543212047680521,3.991856480486773e-06,0.11226687745032166,0.21912868232989263
omit_E057,19,0.166459571559458,0.027875438784519212,1.1946768615557926e-05,0.10789544783567173,0.22502369528324428
omit_E059,19,0.16236008573443145,0.028773848557439086,2.3621619891192637e-05,0.10190847311754987,0.22281169835131304
omit_E060,19,0.16410073286235644,0.028368419357269317,1.7570103088214956e-05,0.10450089538786882,0.22370057033684404
omit_E061,19,0.14747883771796433,0.030476409257975033,0.0001316720914392922,0.08345027780047856,0.2115073976354501
omit_E065,19,0.1445202701948215,0.029240751842247607,0.00010517821854092649,0.08308773017622476,0.20595281021341824
omit_E067,19,0.14821727109032945,0.030115388891340238,0.00011003151197741386,0.08494718681808262,0.2114873553625763
pre_specified_after_diagnostic_omit_E010,19,0.15689248909755826,0.02527367682595432,7.385273062230834e-06,0.10379446441598167,0.20999051377913486
