event_id,event_start,event_end,interval_count,peak_avg_gas_gwei,peak_max_gas_gwei,total_stablecoin_volume_usd,window_start,window_end
1,2022-05-01T00:00:00.000000,2022-05-01T00:00:00.000000,1,2750.950847064712,8629.051173688,544296527.8103114,2022-04-24T00:00:00.000000,2022-05-08T00:00:00.000000
2,2022-05-11T12:00:00.000000,2022-05-12T06:00:00.000000,4,323.0260699498531,1352.188204502,16827195063.17284,2022-05-04T12:00:00.000000,2022-05-19T06:00:00.000000
3,2022-04-05T18:00:00.000000,2022-04-05T18:00:00.000000,1,250.85740390825,3987.823764491,438867461.62612873,2022-03-29T18:00:00.000000,2022-04-12T18:00:00.000000
4,2023-05-05T12:00:00.000000,2023-05-06T00:00:00.000000,3,196.7532469117031,299.328677077,1745978984.2544236,2023-04-28T12:00:00.000000,2023-05-13T00:00:00.000000
5,2023-03-11T00:00:00.000000,2023-03-11T06:00:00.000000,2,159.9144440155191,378.151610964,6835985681.917044,2023-03-04T00:00:00.000000,2023-03-18T06:00:00.000000
6,2023-05-06T12:00:00.000000,2023-05-06T18:00:00.000000,2,159.15399627117768,232.22122782,456589726.7662379,2023-04-29T12:00:00.000000,2023-05-13T18:00:00.000000
7,2023-02-14T18:00:00.000000,2023-02-14T18:00:00.000000,1,148.23033100247986,813.226561828,3672841368.7986526,2023-02-07T18:00:00.000000,2023-02-21T18:00:00.000000
8,2024-04-13T18:00:00.000000,2024-04-13T18:00:00.000000,1,130.60705693072728,586.338250584,2026030880.9185236,2024-04-06T18:00:00.000000,2024-04-20T18:00:00.000000
9,2024-03-05T12:00:00.000000,2024-03-05T18:00:00.000000,2,113.2812328372475,394.06284966,5625745482.850777,2024-02-27T12:00:00.000000,2024-03-12T18:00:00.000000
10,2022-11-08T18:00:00.000000,2022-11-08T18:00:00.000000,1,104.7371549209888,669.858927546,2435373496.4178853,2022-11-01T18:00:00.000000,2022-11-15T18:00:00.000000
11,2024-08-05T00:00:00.000000,2024-08-05T12:00:00.000000,3,104.40611216191036,701.717784035,8591790108.783863,2024-07-29T00:00:00.000000,2024-08-12T12:00:00.000000
12,2023-05-02T12:00:00.000000,2023-05-02T18:00:00.000000,2,101.01494649431893,159.492841966,1377761900.439962,2023-04-25T12:00:00.000000,2023-05-09T18:00:00.000000
13,2024-03-04T12:00:00.000000,2024-03-04T18:00:00.000000,2,100.87773998326045,185.432504486,4752460036.248276,2024-02-26T12:00:00.000000,2024-03-11T18:00:00.000000
14,2022-11-09T12:00:00.000000,2022-11-09T18:00:00.000000,2,99.8915964098489,512.161660826,5465458639.130237,2022-11-02T12:00:00.000000,2022-11-16T18:00:00.000000
15,2023-05-05T00:00:00.000000,2023-05-05T00:00:00.000000,1,99.31580333281516,184.30827365,669662200.359474,2023-04-28T00:00:00.000000,2023-05-12T00:00:00.000000
16,2024-03-06T12:00:00.000000,2024-03-06T12:00:00.000000,1,91.85608870626298,168.096792201,2150521475.154169,2024-02-28T12:00:00.000000,2024-03-13T12:00:00.000000
17,2023-12-15T12:00:00.000000,2023-12-15T12:00:00.000000,1,90.69655567853115,180.910697548,1286513225.7578235,2023-12-08T12:00:00.000000,2023-12-22T12:00:00.000000
18,2024-02-28T12:00:00.000000,2024-02-28T12:00:00.000000,1,87.08377023194339,305.752961076,1954260013.410707,2024-02-21T12:00:00.000000,2024-03-06T12:00:00.000000
19,2023-11-09T12:00:00.000000,2023-11-09T18:00:00.000000,2,86.82789519611006,323.556840279,3693464367.473298,2023-11-02T12:00:00.000000,2023-11-16T18:00:00.000000
20,2023-04-20T12:00:00.000000,2023-04-20T12:00:00.000000,1,83.90757481173475,194.726000879,601562384.7356653,2023-04-13T12:00:00.000000,2023-04-27T12:00:00.000000
21,2025-02-03T00:00:00.000000,2025-02-03T00:00:00.000000,1,83.52339965113039,825.516734806,3264905677.717086,2025-01-27T00:00:00.000000,2025-02-10T00:00:00.000000
22,2023-04-19T06:00:00.000000,2023-04-19T18:00:00.000000,3,83.04565674705381,218.222691824,1616285388.9272363,2023-04-12T06:00:00.000000,2023-04-26T18:00:00.000000
23,2024-02-09T12:00:00.000000,2024-02-09T12:00:00.000000,1,82.32393807448625,126.508182359,1091110760.0897338,2024-02-02T12:00:00.000000,2024-02-16T12:00:00.000000
24,2023-12-18T12:00:00.000000,2023-12-18T18:00:00.000000,2,81.9162972874427,289.77047289,2132466286.9780154,2023-12-11T12:00:00.000000,2023-12-25T18:00:00.000000
25,2024-02-29T12:00:00.000000,2024-02-29T12:00:00.000000,1,81.64783728771533,103.849103698,1682354406.2838237,2024-02-22T12:00:00.000000,2024-03-07T12:00:00.000000
